FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,WB_REGION,COUNTRY,CountrynameWEO,weo_code,ISO,STATE,LAT_DD,LON_DD,ON_OFF_LOC,year,FIELD_TYPE,SIZE_CLASS,SIZE_CLASS_CODE,EUR_MMBOE,oil_price,gas_price,firstdiscoyear,disco_cumu,disco_count,EUR_cumu,NPV_USD_n,defl_uscpi,NPV_USD_r,gdp_curr,gdp_const,NPV_GDP_n,NPV_GDP_r,DISCO_SOURCE1,DISCO_SOURCE2,DISCO_SOURCE3,DISCO_SOURCE4
1021,Mamba South 1,,F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-10.60000038146973,41.5,Offshore,2011,Gas,Giant,1,1500,104.0093975255258,1.23365417703824,1961,6,11,13206.67,461.23004,.96323586,478.83395,13131.168011807,10876.9769889172,3.5124829,4.4022703,https://www.eni.com/en_IT/media/2011/10/eni-increases-the-mamba-south-gas-discovery-in-mozambique-by-50,,,http://abarrelfull.wikidot.com/mamba-gas-field
1022,Mamba North East-2,Area 4 LNG (T3&T4),F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-10.80000019073486,41,Offshore,2012,Gas,Giant,1,1400,105.0096288848768,1.209156874999998,1961,7,11,14606.67,429.8541,.98390281,436.88675,15265.2697106404,11659.9220050362,2.8158958,3.7469096,https://www.offshore-mag.com/drilling-completion/article/16784295/eni-makes-another-major-deepwater-gas-discovery-offshore-mozambique,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
1023,Coral,Coral FLNG,F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-11.30000019073486,41.40000152587891,Offshore,2012,Gas,Giant,1,1500,105.0096288848768,1.209156874999998,1961,8,11,16106.67,452.07117,.98390281,459.46729,15265.2697106404,11659.9220050362,2.9614358,3.9405692,https://www.offshoreenergytoday.com/more-gas-for-eni-offshore-mozambique-another-giant-discovery/,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
1024,Mamba North,MZLNG Joint Development,F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-11.30000019073486,41.40000152587891,Offshore,2012,Gas,Giant,1,1500,105.0096288848768,1.209156874999998,1961,9,11,17606.67,452.07117,.98390281,459.46729,15265.2697106404,11659.9220050362,2.9614358,3.9405692,https://www.eni.com/en_IT/media/2012/02/eni-new-giant-gas-discovery-in-the-offshore-mozambique,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
1025,Atum,Area 1 LNG (T1&T2),F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-10.5,40.70000076293945,Offshore,2012,Gas,Giant,1,4000,105.0096288848768,1.209156874999998,1961,10,11,21606.67,921.69159,.98390281,936.771,15265.2697106404,11659.9220050362,6.0378337,8.0341101,https://www.2b1stconsulting.com/anadarko-harvests-new-gas-reserves-offshore-mozambique/,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
1026,Mamba North East,Area 4 LNG (T3&T4),F,AFRICA,SSA,Mozambique,Mozambique,688,MOZ,,-11.30000019073486,41.40000152587891,Offshore,2012,Gas,Giant,1,2000,105.0096288848768,1.209156874999998,1961,11,11,23606.67,557.56647,.98390281,566.68854,15265.2697106404,11659.9220050362,3.6525164,4.8601398,https://www.offshoreenergytoday.com/eni-makes-another-big-gas-discovery-offshore-mozambique/,https://www.eia.gov/beta/international/analysis_includes/special_topics/East_Africa/eeae.pdf,,
1027,Owowo-3,,F,AFRICA,SSA,Nigeria,Nigeria,694,NGA,,3.5,6,Offshore,2016,Oil,Giant,1,1000,42.81194444444444,.599729358406775,1958,32,32,25008.188,11897.518,1.0315046,11534.139,404649.527537753,456775.408619543,2.940203,2.5251224,https://news.exxonmobil.com/press-release/exxonmobil-announces-significant-oil-discovery-offshore-nigeria,https://www.legit.ng/1092741-nigeria-earn-n3trn-oil-field-discovered.html,,
1028,Johan Casberg,Skrugard,C,WESTERN EUROPE,ECA,Norway,Norway,142,NOR,,73,23,Offshore,2011,Oil,Giant,1,650,104.0093975255258,1.23365417703824,1969,27,28,51387.168,21065.32,.96323586,21869.328,498831.55892586,433301.8261133319,4.2229323,5.0471349,https://www.equinor.com/en/what-we-do/new-field-developments/johan-castberg.html,https://www.offshore-technology.com/projects/skrugard-field-development-project-norway/,,
1029,Wisting,,C,WESTERN EUROPE,ECA,Norway,Norway,142,NOR,,72.5,21.20000076293945,Offshore,2013,Oil,Giant,1,1000,104.0774974975867,1.318334416666664,1969,28,28,52387.168,28923.326,1.0035768,28820.244,523502.127659574,449743.204980008,5.5249681,6.4081554,https://www.offshore-technology.com/projects/wisting-oil-discovery-barents-sea/,https://www.woodmac.com/reports/upstream-oil-and-gas-wisting-50558876/,https://www.spitsbergen-svalbard.com/2013/10/15/oil-found-in-the-wisting-central-area-in-the-barents-sea.html,
1030,Antelope-4-ST1,,G,ASIA AND OCEANIA,EAP,Papua New Guinea,Papua New Guinea,853,PNG,,-7,145,Onshore,2015,Gas,Giant,1,1800,50.7527777777778,.8019657699923198,1987,2,2,3202.9431,342.48486,1.0216202,335.237,21723.3781245485,19457.3990031666,1.5765728,1.7229282,https://www.ogj.com/articles/2015/11/antelop-4-st-1-finds-more-gas-onshore-papua-new-guinea.html,,,
