Country|Region|Lat|Lon|Type|Status|Amount
Australia|Lake Maitland|-27.185|121.086944|Surficial|Development|5,000-10,000
Australia|Lake Mason|-27.615278|119.541667|Surficial|Dormant|1,000-2,500
Australia|Lake Raeside|-29.482222|122.021389|Surficial|Dormant|1,000-2,500
Australia|Lake Way|-26.811944|120.388889|Surficial|Exploration|2,500-5,000
Australia|Malbooma|-30.678611|134.178611|Sandstone-Tabular|Dormant|2,500-5,000
Australia|Manyingee|-22.45|115.2|Sandstone-Roll Front|Dormant|10,000-25,000
Australia|Mary Kathleen|-20.8|139.783333|Metamorphic|Depleted|10,000-25,000
Australia|Maureen|-33.786667|150.925278|Volcanic|Dormant|1,000-2,500
Australia|Mount Fitch|-12.958611|130.956111|Unconformity-Proterozoic|Dormant|2,500-5,000
Australia|Mount Gee|-30.227222|139.341944|Hematite Breccia Complex|Exploration|10,000-25,000
Australia|Mount Painter|-30.173056|139.3675|Hematite Breccia Complex|Exploration|5,000-10,000
Australia|Mount Victoria|-37.0475|147.333889|Intrusive|Dormant|< 500
Australia|Nabarlek|-12.3|133.323889|Unconformity-Proterozoic|Exploration|5,000-10,000
Australia|Napperby|-33.157222|138.116389|Surficial|Dormant|500-1,000
Australia|Nolans Bore|-22.583056|133.233056|Intrusive|Exploration|1,000-2,500
Australia|Olympic Dam|-30.485|136.876944|Hematite Breccia Complex|Operating|> 100,000
Australia|Oobagooma|-16.761111|123.988056|Sandstone-Roll Front|Dormant|5,000-10,000
Australia|Outcamp|-29.263889|120.614722|Sandstone-Tabular|Dormant|500-1,000
Australia|Pamela|-31.6375|115.658333|Sandstone-Roll Front|Dormant|UNKNOWN
Australia|Prominent Hill|-29.720833|135.523333|Hematite Breccia Complex|Development|10,000-25,000
Australia|Radium Hill|-32.3|140.666667|Intrusive|Depleted|500-1,000
Australia|South Alligator River|-12.25|132.4|Unconformity-Proterozoic|Depleted|500-1,000
Australia|Sue|-10.207222|142.824722|Sandstone-Tabular|Dormant|500-1,000
Australia|Thatcher Soak|-28.035833|123.52|Surficial|Dormant|2,500-5,000
Australia|Trident|-25.266667|147.116667|Volcanic|Dormant|< 500
Australia|Turee Creek|-23.293611|118.054722|Unconformity-Proterozoic|Dormant|UNKNOWN
Australia|Valhalla|-37.95|146.45|Metasomatite|Exploration|10,000-25,000
Australia|Warrior|-9.8|142.966667|Sandstone-Tabular|Exploration|2,500-5,000
Australia|White's|-34.715|149.734444|Unconformity-Proterozoic|Depleted|500-1,000
Australia|Yeelirrie|-27.276667|120.095833|Surficial|Dormant|25,000-50,000
Botswana|Serule|-22.3275|27.493333|Sandstone-Basal Channel|Exploration|25,000-50,000
Brazil|Amorinopolis|-16.634167|-51.098333|Sandstone-Tabular|Dormant|2,500-5,000
Brazil|Campos Belos|-13.036667|-46.771667|Vein|Closed|< 500
Brazil|Espinharas|-6.802222|-37.382222|Metasomatite|Dormant|5,000-10,000
Brazil|Figueira|-23.861111|-50.420556|Sandstone-Tabular|Dormant|5,000-10,000
Brazil|Itataia|-4.583333|-39.8|Metasomatite|Development|> 100,000
Brazil|Lagoa Real|-14.109722|-42.216944|Metasomatite|Operating|50,000-100,000
Brazil|Pocos De Caldas|-21.787778|-46.561389|Volcanic|Reclamation|10,000-25,000
Bulgaria|Beslet|41.783333|23.866667|Vein|Depleted|500-1,000
Bulgaria|Dospat|41.632222|24.1875|Sandstone-|Depleted|500-1,000
Bulgaria|Gabra|42.533333|23.616667|Sandstone-Tabular|Closed|< 500
Bulgaria|Gradevo|41.916667|23.2|Sandstone-Tabular|Fully explored|500-1,000
Bulgaria|Igralishte|41.566667|23.133333|Surficial|Depleted|500-1,000
Bulgaria|Isgrew|43.298333|27.695556|Sandstone-Roll Front|Depleted|500-1,000
Bulgaria|Kostenetz|42.3|23.866667|Vein|Depleted|< 500
Bulgaria|Melnik|41.522778|23.393056|Sandstone-Tabular|Depleted|500-1,000
Bulgaria|Rosen|42.316667|24.366667|Vein|Depleted|500-1,000
Bulgaria|Sborishte|42.683333|25.966667|Vein|Closed|500-1,000
Bulgaria|Simitli|41.883333|23.116667|Sandstone-Tabular|Closed|2,500-5,000
Bulgaria|Sliven|42.685833|26.329167|Vein|Depleted|500-1,000
Bulgaria|Smolian|41.574167|24.711944|Volcanic|Closed|2,500-5,000
Canada|Agnew Lake|46.355278|-81.760833|Quartz-pebble|Depleted|2,500-5,000
Canada|Andrew Lake|44.350556|-64.648056|Unconformity-Proterozoic|Feasibility study|10,000-25,000
Canada|Apple|45.566667|-74.249167|Quartz-pebble|Dormant|2,500-5,000
Canada|Axe Lake|50.291389|-73.567222|Intrusive|Unknown|500-1,000
Canada|Baie Johan Beetz|50.286667|-62.807222|Intrusive|Unknown|10,000-25,000
Canada|Banana Lake|54.719722|-113.835833|Quartz-pebble|Unknown|25,000-50,000
Canada|Bancroft|45.05|-77.849444|Intrusive|Dormant|2,500-5,000
Canada|Blizzard|47.287778|-76.947222|Sandstone-Basal Channel|Dormant|2,500-5,000
Canada|Buckels|59.986111|-101.623056|Quartz-pebble|Closed|500-1,000
Canada|Caribou|48.633056|-55.014722|Unconformity-Proterozoic|Dormant|1,000-2,500
Canada|Centennial|47.914444|-84.714444|Unconformity-Proterozoic|Exploration|UNKNOWN
Canada|Cigar Lake|48.685278|-85.965|Unconformity-Proterozoic|Development|> 100,000
Canada|Collins Bay A|56.433056|-124.403056|Unconformity-Proterozoic|Closed|5,000-10,000
Canada|Conecho|46.483333|-82.516389|Quartz-pebble|Dormant|1,000-2500
Canada|Cup Lake|47.410556|-74.805278|Sandstone-Basal Channel|Dormant|< 500
