57|Canada|989|Maybelle River|Unconformity-Proterozoic|Exploration|UNKNOWN
59|Canada|132|McArthur River|Unconformity-Proterozoic|Operating|> 100,000
61|Canada|133|McClean Lake (N, SE,|Unconformity-Proterozoic|Dormant|10,000-25,000
63|Canada|134|Michelin|Volcanic|Exploration|25,000-50,000
64|Canada|135|Midwest|Unconformity-Proterozoic|Dormant|10,000-25,000
66|Canada|1082|Midwest A|Unconformity-Proterozoic|Exploration|2,500-5,000
2|Canada|1254|Millaqua|Quartz-pebble|Dormant|2,500-5,000
4|Canada|990|Millennium|Unconformity-Proterozoic|Exploration|10,000-25,000
6|Canada|142|Milliken|Quartz-pebble|Dormant|5,000-10,000
8|Canada|1088|Mont Laurier|Intrusive|Exploration|< 500
9|Canada|1090|Moran C|Vein|Exploration|2,500-5,000
10|Canada|1091|Mountain Lake|Sandstone-Tabular|Dormant|2,500-5,000
11|Canada|1093|Nash|Volcanic|Exploration|500-1,000
12|Canada|136|Nordic|Quartz-pebble|Dormant|10,000-25,000
14|Canada|1298|North Shore Double S|Intrusive|Exploration|5,000-10,000
16|Canada|1299|North Shore Middle|Intrusive|Exploration|5,000-10,000
18|Canada|1300|North Shore TJ Zone|Intrusive|Exploration|2,500-5,000
19|Canada|992|P Patch|Unconformity-Proterozoic|Exploration|5,000-10,000
21|Canada|138|Panel|Quartz-pebble|Unknown|10,000-25,000
23|Canada|1100|Paul Bay|Unconformity-Proterozoic|Dormant|5,000-10,000
25|Canada|140|Pronto|Quartz-pebble|Depleted|1,000-2,500
27|Canada|141|Quirke|Quartz-pebble|Closed|25,000-50,000
29|Canada|143|Rabbit Lake|Unconformity-Proterozoic|Depleted|10,000-25,000
31|Canada|1102|Rainbow|Volcanic|Exploration|1,000-2,500
32|Canada|144|Raven|Unconformity-Proterozoic|Exploration|2,500-5,000
34|Canada|1155|Rayrock|Vein|Depleted|< 500
35|Canada|145|Rexspar|Volcanic|Dormant|500-1,000
36|Canada|994|Shea Creek Anne|Unconformity-Proterozoic|Exploration|UNKNOWN
38|Canada|995|Shea Creek Colette|Unconformity-Proterozoic|Exploration|UNKNOWN
40|Canada|996|Shea Creek Kianna|Unconformity-Proterozoic|Exploration|UNKNOWN
42|Canada|1255|Silvermaque|Quartz-pebble|Unknown|2,500-5,000
44|Canada|139|Spanish American|Quartz-pebble|Closed|2,500-5,000
46|Canada|147|Stanleigh|Quartz-pebble|Closed|25,000-50,000
48|Canada|1156|Stanrock|Quartz-pebble|Unknown|5,000-10,000
50|Canada|148|Sue A|Unconformity-Proterozoic|Dormant|500-1,000
52|Canada|1005|Sue B|Unconformity-Proterozoic|Dormant|500-1,000
54|Canada|1006|Sue C|Unconformity-Proterozoic|Depleted|10,000-25,000
56|Canada|1256|Sue CQ|Unconformity-Proterozoic|Unknown|UNKNOWN
58|Canada|1007|Sue D|Unconformity-Proterozoic|Dormant|1,000-2,500
60|Canada|1008|Sue E|Unconformity-Proterozoic|Dormant|2,500-5,000
62|Canada|1110|Tamarack|Unconformity-Proterozoic|Dormant|5,000-10,000
64|Canada|1111|Thorburn Lake|Unconformity-Proterozoic|Dormant|500-1,000
66|Canada|1114|Tyee|Sandstone-Basal Channel|Dormant|500-1,000
67|Canada|149|West Bear|Unconformity-Proterozoic|Dormant|500-1,000
1|China|158.0|Baiyanghe, Junggar-|Volcanic|Depleted|500-1,000
3|China|156.0|Bashibulak, Junggar-|Sandstone-Tabular|Exploration|2,500-5,000
5|China|157.0|Beimianshi, South|Sandstone-Basal Channel|Dormant|2,500-5,000
7|China|159.0|Bentou, South China U|Other|Exploration|500-1,000
9|China|160.0|Chanziping, South|Other|Exploration|2,500-5,000
11|China|162.0|Chengzishan,|Sandstone-Basal Channel|Dormant|5,000-10,000
14|China|161.0|Chenjiazhung|Intrusive|Exploration|500-1,000
17|China|163.0|Daladi, Junggar-Tien|Lignite|Depleted|500-1,000
19|China|164.0|Guixi, South China U|Volcanic|Depleted|500-1,000
21|China|165.0|Guyuan, Yinshan-|Volcanic|Exploration|2,500-5,000
23|China|166.0|Hongshiquan, Qilian-|Intrusive|Exploration|500-1,000
25|China|167.0|Jiling, Qilian-Quiling U|Vein|Exploration|500-1,000
27|China|168.0|Jinyinzhai|Vein|Depleted|5,000-10,000
28|China|169.0|Kujie'ertai, Junggar-|Sandstone-Roll Front|Operating|10,000-25,000
30|China|170.0|Lianshanguan, Yinshan-|Vein|Operating|2,500-5,000
32|China|171.0|Mengqiuguer, Junggar-|Lignite|Depleted|500-1,000
34|China|172.0|Nuheting, Yinshan-|Sandstone-Tabular|Exploration|10,000-25,000
36|China|173.0|Puquitang|Sandstone-Tabular|Depleted|500-1,000
37|China|174.0|Quinglong, Yinshan-|Sandstone-Basal Channel|Dormant|5,000-10,000
39|China|1120.0|Shihongtan, Junggar-|Sandstone-Roll Front|Operating|2,500-5,000
41|China|175.0|Tengchong, West|Sandstone-Roll Front|Operating|2,500-5,000
43|China|176.0|Xiangcao|Sandstone-Roll Front|Exploration|1,000-2,500
44|China|180.0|Xiangshan|Volcanic|Operating|10,000-25,000
47|China|179.0|Xiazhuang (Xiwang),|Vein|Depleted|5,000-10,000
49|China|1121.0|Zaohuohao,Yinshan-|Sandstone-Roll Front|Exploration|5,000-10,000
51|Colombia|1305.0|Berlin|Black Shales|Exploration|2,500-5,000
52|Czech Republic|181.0|Brevniste|Sandstone-Tabular|Depleted|10,000-25,000
53|Czech Republic|183.0|Dylen|Vein|Depleted|2,500-5,000
54|Czech Republic|184.0|Hamr|Sandstone-Tabular|Dormant|25,000-50,000
55|Czech Republic|185.0|Horni Slavkov|Vein|Depleted|2,500-5,000
56|Czech Republic|186.0|Hvezdov|Sandstone-Tabular|Dormant|10,000-25,000
57|Czech Republic|187.0|Jachymov|Vein|Depleted|10,000-25,000
2|Czech Republic|189|Javornik-Zalesi|Vein|Depleted|2,500-5,000
3|Czech Republic|190|Licomerice-Brezinka|Vein|Depleted|2,500-5,000
4|Czech Republic|191|Mimon|Sandstone-Tabular|Depleted|10,000-25,000
5|Czech Republic|192|Okrouhla Radoun|Vein||2,500-5,000Depleted
6|Czech Republic|193|Olsi|Vein||2,500-5,000Depleted
7|Czech Republic|194|Osecna-Kotel|Sandstone-Tabular|Dormant|25,000-50,000
8|Czech Republic|182|Polna|Vein|Dormant|1,000-2,500
9|Czech Republic|1160|Predborice|Vein|Depleted|< 500
10|Czech Republic|195|Pribram|Vein|Depleted|25,000-50,000
11|Czech Republic|196|Rozna|Vein|Operating|10,000-25,000
12|Czech Republic|1161|Slavkovice-Petrovice|Vein|Depleted|< 500
13|Czech Republic|1158|Sokolov Tertiary Basin|Lignite|Dormant|1,000-2,500
14|Czech Republic|197|Straz|Sandstone-Tabular|Operating|25,000-50,000
15|Czech Republic|198|Vitkov II|Vein|Depleted|10,000-25,000
16|Czech Republic|199|Vnitrosudetska Panev|Other|Depleted|2,500-5,000
17|Czech Republic|200|Zadni Chodov|Vein|Depleted|10,000-25,000
18|Congo|1163|Kalongwe|Vein|Dormant|< 500
20|Congo|1164|Kambove West|Vein|Depleted|1,000-2,500
22|Congo|433|Kamoto Principal|Vein|Dormant|1,000-2,500
24|Congo|434|Kasompi East|Vein|Dormant|500-1,000
26|Congo|1165|Luena Basin|Lignite|Dormant|5,000-10,000
28|Congo|1166|Musonoi Extension|Vein|Depleted|2,500-5,000
30|Congo|435|Shinkolobwe-Kasolo|Vein|Depleted|25,000-50,000
32|Congo|1167|Swambo|Vein|Dormant|500-1,000
34|Denmark|201|Kvanefjeld|Intrusive|Exploration|25,000-50,000
35|Finland|202|Kesankitunturi|Sandstone-Tabular|Dormant|500-1,000
36|Finland|203|Nuottijarvi|Phosphorite|Dormant|1,000-2,500
37|Finland|204|Pahtavuoma-U|Vein|Dormant|500-1,000
38|Finland|205|Palmottu|Intrusive|Exploration|1,000-2,500
39|Finland|206|Paukkajanvaara|Sandstone-Tabular|Reclaimed|< 500
40|Finland|207|Sokli|Intrusive|Dormant|2,500-5,000
41|Finland|208|Talvivaara|Black Shales|Development|2,500-5,000
42|Finland|209|Vihanti-U|Phosphorite|Reclamation|500-1,000
43|France|1266|Vendee District|Vein|Depleted|1,000-2,500
44|France|956|Ambert (District)|Vein|Depleted|< 500
45|France|1261|Augres|Vein|Depleted|500-1,000
46|France|210|Bellezane|Vein|Depleted|2,500-5,000
47|France|221|Bernardan (Le)|Vein|Depleted|5,000-10,000
48|France|211|Bertholene|Unconformity-Proterozoic|Depleted|500-1,000
50|France|218|Besse (La) District|Vein|Depleted|1,000-2,500
51|France|225|Bois Noirs (Les)|Vein|Depleted|5,000-10,000
52|France|969|Bondons (Les)|Vein|Depleted|< 500
53|France|967|Bretagne (District)|Vein|Depleted|1,000-2,500
54|France|226|Brugeaud (Le)|Vein|Depleted|1,000-2,500
55|France|222|Cellier (Le)-Villeret (Le)|Vein|Depleted|1,000-2,500
56|France|212|Cerilly (District )|Sandstone-Tabular|Depleted|1,000-2,500
57|France|219|Chapelle-Largeau (La)-|Vein|Depleted|500-1,000
59|France|223|Chardon (Le)|Vein|Depleted|2,500-5,000
60|France|958|Chateau-Chinon|Vein|Depleted|< 500
62|France|220|Commanderie (La)|Vein|Depleted|2,500-5,000
63|France|971|Correze (District)|Vein|Depleted|< 500
64|France|213|Coutras|Sandstone-Tabular|Dormant|10,000-25,000
65|France|972|Creuse (District)|Vein|Depleted|500-1,000
2|France|939|Ecarpiere (L')|Vein|Depleted|2,500-5,000
3|France|963|Failles Sud et Centrales|Sandstone-|Depleted|500-1,000
5|France|215|Fanay-Les Sagnes|Vein|Depleted|2,500-5,000
6|France|224|Fraisse (Le)-Les Gorces|Vein|Depleted|1,000-2,500
7|France|216|Grury-Luzy district|Vein|Depleted|500-1,000
8|France|217|Hyverneresse|Vein|Depleted|500-1,000
9|France|230|Lodeve District|Sandstone-|Depleted|500-1,000
11|France|227|Loges (Les)|Vein|Depleted|500-1,000
12|France|1262|Marche District|Vein|Depleted|500-1,000
13|France|961|Mares (Les)|Sandstone-|Depleted|500-1,000
15|France|232|Margnac-Peny|Vein|Depleted|5,000-10,000
16|France|1263|Mas d'Alary|Vein|Depleted|1,000-2,500
17|France|231|Mas Lavayre|Sandstone-|Depleted|10,000-25,000
19|France|233|Montulat|Vein|Dormant|1,000-2,500
20|France|234|Pen Ar Ran|Vein|Depleted|500-1,000
21|France|235|Piegut- La Cote Moreau|Vein|Depleted|< 500
22|France|228|Pierres-Plantees (Les)|Vein|Depleted|1,000-2,500
23|France|237|Saint Hippolyte|Black Shales|Dormant|1,000-2,500
24|France|236|Saint.Pierre Du Cantal|Sandstone-Basal Channel|Depleted|1,000-2,500
25|France|1264|Schaenzel|Black Shales|Dormant|500-1,000
26|France|974|Siege MCO|Vein|Depleted|1,000-2,500
27|France|1265|Teufelsloch-Warik|Black Shales|Dormant|1,000-2,500
28|France|965|Venachat|Vein|Depleted|500-1,000
29|Gabon|242|Mounana|Sandstone-|Depleted|5,000-10,000
31|Gabon|239|Bangombe|Sandstone-|Dormant|< 500
33|Gabon|240|Boyindzi|Sandstone-|Depleted|1,000-2,500
35|Gabon|241|Mikouloungou|Sandstone-|Depleted|1,000-2,500
37|Gabon|243|Okelobondo Nord|Sandstone-|Depleted|1,000-2,500
39|Gabon|900|Okelobondo Satellite|Sandstone-Tabular|Depleted|< 500
41|Gabon|899|Okelobondo Satellite|Sandstone-Tabular|Depleted|< 500
43|Gabon|898|Okelobondo Sud|Sandstone-|Depleted|1,000-2,500
45|Gabon|244|Oklo|Sandstone-|Depleted|10,000-25,000
47|Germany|245|Annaberg|Vein|Depleted|500-1,000
48|Germany|246|Antonsthal (Weisser|Vein|Depleted|500-1,000
50|Germany|247|Culmitzsch|Sandstone-Tabular|Depleted|10,000-25,000
51|Germany|248|Freital-Gittersee|Lignite|Closed|2,500-5,000
52|Germany|249|Grossschloppen|Vein|Dormant|1,000-2,500
53|Germany|250|Johanngeorgenstadt|Vein|Depleted|5,000-10,000
54|Germany|251|Koenigstein|Sandstone-Tabular|Depleted|10,000-25,000
55|Germany|252|Menzenschwand|Vein|Dormant|2,500-5,000
56|Germany|253|Muellenbach|Sandstone-Tabular|Dormant|2,500-5,000
57|Germany|255|Niederschlema-|Vein|Depleted|> 100,000
59|Germany|953|Oberschlema|Vein|Unknown|5,000-10,000
60|Germany|254|Ronneburg Ore Field|Black Shales|Closed|> 100,000
61|Germany|256|Schneckenstein|Vein|Depleted|500-1,000
62|Germany|257|Tellerhauser|Vein|Closed|1,000-2,500
63|Germany|258|Waeldel &|Vein|Dormant|1,000-2,500
66|Germany|259|Zobes|Vein|Depleted|5,000-10,000
2|Guinea|1267|Firawa|Vein|Exploration|UNKNOWN
3|Guyana|1306|Aricheng|Vein|Exploration|2,500-5,000
4|Hungary|260|Mecsek|Sandstone-Tabular|Closed|25,000-50,000
5|India|261|Bhatin|Vein|Operating|1,000-2,500
