 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M2359|Yuanyuan Surface Coal Mine 958 Mining Area||内蒙古源源能源集团有限责任公司露天煤矿958采区|https://www.gem.wiki/Yuanyuan_Surface_Coal_Mine_958_Mining_Area|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%BA%90%E6%BA%90%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF958%E9%87%87%E5%8C%BA|Operating||||Inner Mongolia Yuanyuan Energy Group Surface Coal Mine|Inner Mongolia Yuanyuan Energy Group Company|Inner Mongolia Yuanyuan Energy Group|China|Capacity|1.2||Surface|Open Pit|1.8217|50|Estimate||Lignite|Thermal|14|-|-|-|-|-|-|11|2002||Huolinhe|Yuanyuan Industrial Park|Tongliao|Inner Mongolia|China|156|East Asia|45.464911|119.549702|Exact||||0.8|1.4|0.0|1.42
M2282|Yuci Beishan Coal Mine||山西榆次北山煤业有限公司|https://www.gem.wiki/Yuci_Beishan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%A6%86%E6%AC%A1%E5%8C%97%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Yuci Beishan Coal Industry Company|Jinzhong Yuci Wujin Materials Trading Company|Jinzhong Yuci Wujin Materials Trading Company|China|Capacity|1.2||Underground|Longwall|13.3031|990|Exact|329|Anthracite|Thermal|16|-|-|-|-|-|-|13|1980|8|Qinshui|Pingdiquan Village, Wujinshan Town|Jinzhong|Shanxi|China|156|East Asia|37.840097|112.755881|Exact||||28.1|54.0|1.1|3.10
M3219|Yuci Guanyao Coal Mine||山西榆次官窑煤业有限公司|https://www.gem.wiki/Yuci_Guanyao_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%A6%86%E6%AC%A1%E5%AE%98%E7%AA%91%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Yuci Guanyao Coal Industry Company|Jinzhong Yuci Wujin Materials Trading Company|Jinzhong Yuci Wujin Materials Trading Company|China|Capacity|0.9||Underground|Longwall|2.98|1070|Exact|565|Anthracite|Thermal|6|-|-|-|-|-|-|7|1983|4|Qinshui Coalfield|Pingdiquan Village, Wujinshan Town|Jinzhong|Shanxi|China|156|East Asia|37.865863|112.753666|Exact||||28.4|40.9|0.8|2.32
M3220|Yuci Weishan Coal Mine||山西煤炭运销集团榆次巍山煤业有限公司|https://www.gem.wiki/Yuci_Weishan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E9%9B%86%E5%9B%A2%E6%A6%86%E6%AC%A1%E5%B7%8D%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Coal Transportation and Marketing Group Yuci Weishan Coal Industry Company|Shanxi State-Owned Capital Investment and Operation Company|Shanxi State-Owned Capital Investment and Operation Company|China|Capacity|0.9||Underground|Longwall|3.79|456|Estimate|499|Anthracite|Thermal|40|-|-|-|-|-|-|44|2006|20|Qinshui Coalfield|No. 6 North, Xishagou Village, Wujinshan Town|Jinzhong|Shanxi|China|156|East Asia|37.807966|112.702636|Exact||||23.5|33.8|0.7|2.32
M2283|Yuecheng Coal Mine||山西晋煤集团沁秀煤业有限公司岳城煤矿|https://www.gem.wiki/Yuecheng_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E6%B2%81%E7%A7%80%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B2%B3%E5%9F%8E%E7%85%A4%E7%9F%BF|Operating||||Shanxi Jinmei Group Qinxiu Coal Industry Company|Jinneng Holding Group|Jinneng Group|China|Capacity|1.5||Underground|Longwall|13.806|456|Estimate|1655|Anthracite|Thermal|48|-|-|-|-|-|-|32|2010|23|Qinshui|Zhengcun Town|Jincheng|Shanxi|China|156|East Asia|35.600043|112.578623|Exact||||23.5|56.4|1.1|3.87
M2416|Yuejin Coal Mine||山西阳泉盂县跃进煤业有限公司|https://www.gem.wiki/Yuejin_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%98%B3%E6%B3%89%E7%9B%82%E5%8E%BF%E8%B7%83%E8%BF%9B%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Jinyu Coal Industry Group|Yu County Bureau of Industry and Information Technology|Yu County Bureau of Industry and Information Technology|China|Capacity|1.2||Underground|Longwall|4.7851|456|Estimate|1897|Anthracite|Thermal|4|-|-|-|-|-|-|4|2013|5|Qinshui|Lujiacun Town|Yangquan|Shanxi|China|156|East Asia|38.024302|113.465215|Exact||||23.5|45.1|0.9|3.10
M2284|Yueliangtian Coal Mine||贵州盘江精煤股份有限公司月亮田矿|https://www.gem.wiki/Yueliangtian_Coal_Mine|https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E7%9B%98%E6%B1%9F%E7%B2%BE%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9C%88%E4%BA%AE%E7%94%B0%E7%9F%BF|Operating||||Guizhou Panjiang Refined Coal Company|Guizhou Panjiang Coal and Electricity Group Company|Guizhou Panjiang Coal and Electricity Group|China|Capacity|1.15||Underground|Longwall|26.6283|900|Exact|3131|Bituminous|Met|164|-|-|-|-|-|-|143|1971|65|Liupanshui|Panjiang Town|Liupanshui|Guizhou|China|156|East Asia|25.922572|104.500064|Exact||||16.8|30.9|0.6|3.02
M0416|Yuenan Coal Mine||山西泽州天泰岳南煤业有限公司|https://www.gem.wiki/Yuenan_coal_mine|https://www.gem.wiki/山西泽州天泰岳南煤业有限公司|Operating||||Shanxi Zezhou Tiantai Yuenan Coal Industry Company|Shanxi Zezhou Tiantai Energy Company|Shanxi Zezhou Tiantai Energy Company|China|Capacity|1.2||Underground||11.67|456|Estimate|1500|Bituminous||-|-|-|-|-|-|-|-|2021|||Xiacun Town|Jincheng|Shanxi|China|156|East Asia|35.63525|112.732992|Exact||||13.2|25.3|0.5|2.88
M2285|Yufeng Coal Mine||山西保利裕丰煤业有限公司|https://www.gem.wiki/Yufeng_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E4%BF%9D%E5%88%A9%E8%A3%95%E4%B8%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Poly Yufeng Coal Industry Company|China National Coal Group Corporation|China Coal|China|Capacity|1.2||Underground|Longwall|9.6802|1050|Exact|984|Bituminous|Met|48|-|-|-|-|-|-|40|2011|28|Hedong|Menjiagou Village, Changning Town|Linfen|Shanxi|China|156|East Asia|35.885107|110.825495|Exact||||17.5|33.6|0.7|3.15
M1806|Yuhetai Coal Mine||山西玉和泰煤业有限公司|https://www.gem.wiki/Yuhetai_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%8E%89%E5%92%8C%E6%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Yuhetai Coal Industry Company|Shihou (Beijing) Investment Management Company|Shihou (Beijing) Investment Management Company|China|Capacity|1.5||Underground|Longwall|5.8525|960|Exact|1020|Bituminous|Met|-|-|-|-|-|-|12|-|2001||Qinshui|Sanjiao Village, Tangcheng Town|Linfen|Shanxi|China|156|East Asia|36.441444|112.098134|Exact||||17.1|41.0|0.8|3.93
M2286|Yuhua Coal Mine||山西安泽玉华煤业有限公司|https://www.gem.wiki/Yuhua_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%AE%89%E6%B3%BD%E7%8E%89%E5%8D%8E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Anze Yuhua Coal Industry Company|Shanxi Anze Yuhua Coal Industry Company|Shanxi Anze Yuhua Coal Industry Company|China|Capacity|1.5||Underground|Longwall|10.9518|456|Estimate|745|Bituminous|Met|22|-|-|-|-|-|-|14|2003|7|Qinshui|Sanjiao Village, Tangcheng Town|Linfen|Shanxi|China|156|East Asia|36.445024|112.110715|Exact||||13.2|31.7|0.6|3.93
M2287|Yuhua Coal Mine Chaijiagou Well||陕煤铜川矿业有限公司玉华煤矿柴家沟井|https://www.gem.wiki/Yuhua_Coal_Mine_Chaijiagou_Well|https://www.gem.wiki/%E9%99%95%E7%85%A4%E9%93%9C%E5%B7%9D%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%8E%89%E5%8D%8E%E7%85%A4%E7%9F%BF%E6%9F%B4%E5%AE%B6%E6%B2%9F%E4%BA%95|Operating||||Shaanxi Shanmei Tongchuan Mining Industry Company Yuhua Coal Mine Chaijiagou Well|Shaanxi Coal and Chemical Industry Group|Shaanxi Coal and Chemical Industry Group|China|Capacity|1||Underground|Longwall|6.221|456|Estimate|1261|Bituminous|Thermal|19|-|-|-|-|-|-|19|2000|14|Huanglong|Mafang Village, Tai'an Town|Tongchuan|Shaanxi|China|156|East Asia|35.360306|108.950018|Exact||||13.2|21.1|0.4|2.40
M2288|Yuhua Coal Mine Yuhua Well||陕西陕煤铜川矿业有限公司玉华煤矿玉华井 (曾用名：陕西陕煤铜川矿业有限公司玉华煤矿)|https://www.gem.wiki/Yuhua_Coal_Mine_Yuhua_Well|https://www.gem.wiki/%E9%99%95%E8%A5%BF%E9%99%95%E7%85%A4%E9%93%9C%E5%B7%9D%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%8E%89%E5%8D%8E%E7%85%A4%E7%9F%BF%E7%8E%89%E5%8D%8E%E4%BA%95|Operating||||Shaanxi Shanmei Tongchuan Mining Industry Company Yuhua Coal Mine Yuhua Well|Shaanxi Coal and Chemical Industry Group|Shaanxi Coal and Chemical Industry Group|China|Capacity|2.4||Underground|Longwall|34|456|Estimate|1908|Bituminous|Thermal|143|-|-|-|-|-|-|60|2002|46|Huanglong|Xinjie, Yuhua Town|Tongchuan|Shaanxi|China|156|East Asia|35.31381|108.920115|Exact|Coal Plant|Datang Shaanxi Power Generation||13.2|50.7|1.0|5.76
M0417|Yujialiang Coal Mine||中国神华能源股份有限公司榆家梁煤矿|https://www.gem.wiki/Yujialiang_Coal_Mine|https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%A6%86%E5%AE%B6%E6%A2%81%E7%85%A4%E7%9F%BF|Operating||||China Shenhua Energy|National Energy Investment Group (69%), HKSCC Nominees Limited (17%), Others (14%)|China Energy (69%), HKSCC Nominees Limited (17%), Others (14%)|China|Capacity|13||Underground||56.66|456|Estimate||Bituminous|Thermal|384|-|-|-|-|-|-|30|2001|||Dianta|Yulin|Shaanxi|China|156|East Asia|39.044292|110.521818|Exact||||13.2|274.6|5.5|31.19
M2454|Yujing Coal Mine||山西山阴宝山玉井煤业有限公司|https://www.gem.wiki/Yujing_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%B1%B1%E9%98%B4%E5%AE%9D%E5%B1%B1%E7%8E%89%E4%BA%95%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanyin County Bureau of Industry and Information Technology|Shanyin County Bureau of Industry and Information Technology|Shanyin County Bureau of Industry and Information Technology|China|Capacity|2.1||Underground|Longwall|10.97|456|Estimate|233|Bituminous|Thermal|-|-|-|-|-|-|-|-|2015|37|Datong|Yujing Town|Shuozhou|Shanxi|China|156|East Asia|39.704737|112.586857|Exact||||13.2|44.4|0.9|5.04
M1247|Yuka No. 1 Coal Mine||青海省能源发展（集团）鱼卡煤矿改扩建项目(鱼卡一井）|https://www.gem.wiki/Yuka_No.1_Coal_Mine|https://www.gem.wiki/青海省能源发展（集团）鱼卡煤矿(鱼卡一井）|Operating||||Qinghai Energy Development Group Company|Qinghai Coal (21%), Aluminum Corporation of China (12.59%), Qinghai Investment Group (21%), Huanghe Hydropower Development Company (21%), Others (24.41%)|Qinghai Coal (21%), Aluminum Corporation of China (12.59%), Qinghai Investment Group (21%), Huanghe Hydropower Development Company (21%), Others (24.41%)|China|Capacity|4||Underground||35.45|456|Estimate||Bituminous||360|-|-|-|-|-|850|90||||Yuka|Haixi AP|Qinghai|China|156|East Asia|38.061047|94.796798|Exact||||13.2|84.5|1.7|9.60
M0418|Yuka No. 2 Coal Mine||青海省能源发展（集团）有限责任公司鱼卡二号井|https://www.gem.wiki/Yuka_No.2_Coal_Mine|https://www.gem.wiki/青海省能源发展（集团）有限责任公司鱼卡二号井|Proposed|Permitted|New||Qinghai Energy Development Group Company|Qinghai Coal (21%), Aluminum Corporation of China (13%), Qinghai Investment Group (21%), Huanghe Hydropower Development Company (21%), Others (24%)|Qinghai Coal (21%), Aluminum Corporation of China (13%), Qinghai Investment Group (21%), Huanghe Hydropower Development Company (21%), Others (24%)|China|Capacity|1.8||Underground||15.01|456|Estimate||Bituminous|Thermal|211|-|-|-|-|-|-|117|TBD|86||Dachaidan|Haicha Mongolian Tibetan Autonomous Prefecture|Qinghai|China|156|East Asia|38.061047|94.796798|Approximate||||13.2|38.0|0.8|4.32
M3221|Yulin Haizetan Coal Mine||陕西榆横矿区南区海则滩煤矿|https://www.gem.wiki/Yulin_Haizetan_Coal_Mine|https://www.gem.wiki/%E9%99%95%E8%A5%BF%E6%A6%86%E6%A8%AA%E7%9F%BF%E5%8C%BA%E5%8D%97%E5%8C%BA%E6%B5%B7%E5%88%99%E6%BB%A9%E7%85%A4%E7%9F%BF|Proposed|Announced|New||Shaanxi Yihua Mining Development Co., Ltd.|Zhengzhou Yuzhong Energy Co., Ltd.[70.00%]; Jingbian County State-owned Assets Operation Group Co., Ltd.[20.00%]|Yongtai Technology Investment Company|China|Capacity|6||Underground||200.18|456|Estimate||Bituminous|Thermal|796|-|-|-|-|-|1146|133|TBD||Northern Shaanxi Jurassic Coalfield|Haizetan Town|Yulin City|Shaanxi|China|156|East Asia|37.754366|108.889556|Approximate||||13.2|126.7|2.5|14.40
M2289|Yulong Coal Mine||山西右玉玉龙煤业有限公司|https://www.gem.wiki/Yulong_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%8F%B3%E7%8E%89%E7%8E%89%E9%BE%99%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Youyu Yulong Coal Industry Company|Shanxi Yulong Investment Group Company|Shanxi Yulong Investment Group Company|China|Capacity|1.5||Underground|Longwall|5.5599|1260|Exact|430|Anthracite|Thermal|25|-|-|-|-|-|-|17|2013|2|Datong|Xintun Village, Yuanbaozi Town|Shuozhou|Shanxi|China|156|East Asia|39.755168|112.587503|Exact||||29.1|69.8|1.4|3.87
M2945|Yungang Coal Mine||大同煤矿集团有限责任公司云岗矿(晋能控股煤业集团有限公司云岗矿)|https://www.gem.wiki/Yungang_Coal_Mine|https://www.gem.wiki/%E5%A4%A7%E5%90%8C%E7%85%A4%E7%9F%BF%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%BA%91%E5%B2%97%E7%9F%BF|Operating||||Jinneng Coal Mine Group Company,Ltd.(Former name: Datong Coal Mine Group Company,Ltd.)|Jinneng Holding Group|Jinneng Group|China|Capacity|0.9||Underground|Longwall||456|Estimate|5065|Bituminous|Thermal|113|-|-|-|-|-|-|126|1973|24|Datong|Jiangjiawan Street|Datong|Shanxi|China|156|East Asia|40.127811|113.071427|Exact||||13.2|19.0|0.4|2.16
M2290|Yunjialing Coal Mine||冀中能源股份有限公司邯郸云驾岭矿|https://www.gem.wiki/Yunjialing_Coal_Mine|https://www.gem.wiki/%E5%86%80%E4%B8%AD%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%82%AF%E9%83%B8%E4%BA%91%E9%A9%BE%E5%B2%AD%E7%9F%BF|Operating||||Jizhong Energy Company Handan Yunjialing Coal Mine|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|1.8||Underground|Longwall|9.5171|400|Exact|1556|Anthracite|Thermal|6|-|-|-|-|-|-|3|1992|2|Hanxing|Xitushan|Handan|Hebei|China|156|East Asia|36.733395|114.16322|Exact||||22.6|65.1|1.3|4.64
M2363|Yunkai Coal Mine||准格尔旗云凯煤炭有限责任公司|https://www.gem.wiki/Yunkai_Coal_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E4%BA%91%E5%87%AF%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Jungar Banner Yunkai Coal Company|Jungar Banner Yunkai Coal Company|Jungar Banner Yunkai Coal Company|China|Capacity|1.2||Surface|Open Pit|7.698|60|Estimate||Bituminous|Thermal|20|-|-|-|-|-|-|17|2007|9|Dongsheng|Narisong|Ordos|Inner Mongolia|China|156|East Asia|39.569878|110.609856|Exact||||3.5|6.3|0.1|2.88
M1248|Yushujing Coal Mine||内蒙古上海庙矿业有限责任公司榆树井煤矿|https://www.gem.wiki/Yushujing_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%B8%8A%E6%B5%B7%E5%BA%99%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%A6%86%E6%A0%91%E4%BA%95%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Shanghai Temple Mining Company|Shandong Energy Group (50%), China National Tobacco Corporation (50%)|Shandong Energy (50%), China National Tobacco Corporation (50%)|China|Capacity|3.8||Underground||24.56|456|Estimate||Bituminous|Thermal|235|-|-|-|-|-|-|62|2010|61||Shanghai Temple Industrial Park|Ordos|Inner Mongolia|China|156|East Asia|38.258025|106.673372|Exact|Coal Plant|Huaneng Power Station|https://www.gem.wiki/Huaneng_Wulashan_power_station|13.2|80.3|1.6|9.12
M1330|Yushupo Coal Mine||山西宁武榆树坡煤业有限公司|https://www.gem.wiki/Yushupo_Coal_Mine|https://www.gem.wiki/山西宁武榆树坡煤业有限公司榆树坡煤矿|Operating||||Shanxi Ningwu Yushupo Coal Industry Co.|Yangquan Coal Industry Group (51%), Shanxi Guoxin Energy Development Group Co.( 26%), Shanxi Tongbao Energy Co.( 23%)|Huayang New Material Technology Group (51%), Shanxi Guoxin Energy Development Group Co.( 26%), Shanxi Tongbao Energy Co.( 23%)|China|Capacity|1.2||Underground||15.0247|456|Estimate||Bituminous||144|-|-|-|-|-|-|120||86||Yangfangkou Gongkuang Town|Xinzhou|Shanxi|China|156|East Asia|39.065368|112.352653|Exact||||13.2|25.3|0.5|2.88
M2953|Yushutian Coal Mine||新疆库车县夏阔坦矿业开发有限责任公司榆树田煤矿|https://www.gem.wiki/Yushutian_Coal_Mine|https://www.gem.wiki/新疆库车县夏阔坦矿业开发有限责任公司榆树田煤矿|Operating||||Xinjiang Kuche County Xia Kuotan Mining Development Company|Xuzhou Mining Group Company (70%), Datong Shuangjian Industrial Company (30%)|Xuzhou Mining Group Company (70%), Datong Shuangjian Industrial Company (30%)|China|Capacity|0.9||Underground||3.18|456|Estimate|530|Bituminous|Met|63|-|-|-|-|-|99|70|2017||||Aksu|Xinjiang|China|156|East Asia|42.187904|83.155704|Exact||||13.2|19.0|0.4|2.36
M0419|Yushuwan Coal Mine||榆林市榆神煤炭榆树湾煤矿有限公司（榆树湾煤矿）|https://www.gem.wiki/Yushuwan_Coal_Mine|https://www.gem.wiki/%E6%A6%86%E6%9E%97%E5%B8%82%E6%A6%86%E7%A5%9E%E7%85%A4%E7%82%AD%E6%A6%86%E6%A0%91%E6%B9%BE%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%EF%BC%88%E6%A6%86%E6%A0%91%E6%B9%BE%E7%85%A4%E7%9F%BF%EF%BC%89|Operating||||Yulin Yushen Yushuwan Coal Mine Company|Shaanxi Yulin Energy Group (50%), Shenmu Coal Company (20%), Yulin Yuyang Coal Company (20%), Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company (10%)|Shaanxi Yulin Energy Group (50%), Shenmu Coal Company (20%), Yulin Yuyang Coal Company (20%), Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company (10%)|China|Capacity|10||Underground||85.26|456|Estimate|303|Bituminous||-|-|-|1158|-|-|-|-|2012|93|||Yulin|Shaanxi|China|156|East Asia|38.557184|109.897685|Exact||||13.2|211.2|4.2|24.00
M0420|Yuwang No.1 Coal Mine||华能滇东矿业分公司雨汪煤矿一井|https://www.gem.wiki/Yuwang_No.1_Coal_Mine|https://www.gem.wiki/华能滇东矿业分公司雨汪煤矿一井|Proposed|Construction|New||Huaneng Diandong Mining Company|China Huaneng (34%), Shanghua Investment Company (8%), HKSCC Nominees Limited (25%), HeBei Construction & Investment Group (3%), Others (30%)|China Huaneng (34%), Shanghua Investment Company (8%), HKSCC Nominees Limited (25%), HeBei Construction & Investment Group (3%), Others (30%)|China|Capacity|3||Underground||50.47|490|Estimate||Anthracite|Thermal|477|-|-|-|-|-|-|159|TBD|114||Shiba Lianshan Town|Qujing|Yunnan|China|156|East Asia|25.102178|104.615702|Exact||||24.1|115.7|2.3|7.74
M0421|Yuwu Coal Mine||山西潞安集团余吾煤业有限责任公司|https://www.gem.wiki/Yuwu_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%BD%9E%E5%AE%89%E9%9B%86%E5%9B%A2%E4%BD%99%E5%90%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Shanxi Lu'an Group Yuwu Coal Industry Company|Shanxi Lu’an|Shanxi Lu’an|China|Capacity|7.5||Underground||160.24|456|Estimate|4410|Bituminous|Met|313|-|-|-|-|-|-|42|2007|41||Yuwu Town|Changzhi|Shanxi|China|156|East Asia|36.364173|112.858361|Exact||||13.2|158.4|3.2|19.67
M0422|Yuxi Coal Mine||山西兰花科创玉溪煤矿有限责任公司|https://www.gem.wiki/Yuxi_Coal_Mine|https://www.gem.wiki/山西兰花科创玉溪煤矿有限责任公司|Operating||||Shanxi Lanhua Sci-tech Yuxi Coal Mine Company|Shanxi Lanhua Coal Industry Group (57%), Beijing Xinde Yuansheng Investment Company (20%), Others (23%)|Shanxi Lanhua Coal Industry Group (57%), Beijing Xinde Yuansheng Investment Company (20%), Others (23%)|China|Capacity|2.4||Underground||26.14|490|Estimate||Anthracite|Thermal|142|-|-|-|-|-|-|59||51||Hudi Town|Jincheng|Shanxi|China|156|East Asia|35.708323|112.625169|Exact||||24.1|92.5|1.8|6.19
M0423|Yuxin Coal Mine||新疆轮台县玉鑫工贸有限责任公司玉鑫煤矿|https://www.gem.wiki/Yuxin_coal_mine|https://www.gem.wiki/%E6%96%B0%E7%96%86%E8%BD%AE%E5%8F%B0%E5%8E%BF%E7%8E%89%E9%91%AB%E5%B7%A5%E8%B4%B8%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%8E%89%E9%91%AB%E7%85%A4%E7%9F%BF|Proposed|Construction|New||Xinjiang Luntai County Yuxin Industry and Trade Company|Xinjiang Luntai County Yuxin Industry and Trade Company|Xinjiang Luntai County Yuxin Industry and Trade Company|China|Capacity|1.2||Underground|||456|Estimate||Bituminous||-|-|-|-|-|-|-|-|TBD||||Bayingoleng Mongolian Autonomous Prefecture|Xinjiang|China|156|East Asia|41.995516|84.59275|Approximate||||13.2|25.3|0.5|2.88
M0424|Zaoquan Coal Mine||神华宁夏煤业集团有限责任公司枣泉煤矿|https://www.gem.wiki/Zaoquan_Coal_Mine|https://www.gem.wiki/%E7%A5%9E%E5%8D%8E%E5%AE%81%E5%A4%8F%E7%85%A4%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%9E%A3%E6%B3%89%E7%85%A4%E7%9F%BF|Operating||||Shenhua Ningxia Coal Group|National Energy Investment Group (51%), Ningxia State-Owned Capital Operation Group (49%)|China Energy (51%), Ningxia State-Owned Capital Operation Group (49%)|China|Capacity|8||Underground||65.20|456|Estimate||Bituminous|Thermal|434|-|-|-|-|-|-|54|2007|38||Majiatan Town|Yinchuan|Ningxia|China|156|East Asia|37.926904|106.53365|Exact||||13.2|169.0|3.4|19.20
M2291|Zengzifang Coal Mine||大同煤矿集团铁峰煤业有限公司增子坊煤矿|https://www.gem.wiki/Zengzifang_Coal_Mine|https://www.gem.wiki/%E5%A4%A7%E5%90%8C%E7%85%A4%E7%9F%BF%E9%9B%86%E5%9B%A2%E9%93%81%E5%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%A2%9E%E5%AD%90%E5%9D%8A%E7%85%A4%E7%9F%BF|Operating||||Datong Coal Mining Group Tiefeng|Jinneng Holding Group|Jinneng Group|China|Capacity|1.2||Underground|Longwall|7.6|1285|Exact|588|Bituminous|Thermal & Met|89|-|-|-|-|-|-|74|1972|53|Datong|Zengzifang Village, Yuanbaozi Town|Shuozhou|Shanxi|China|156|East Asia|39.796286|112.580654|Exact|Coal Plant|Shuozhou Coal Power||18.3|35.1|0.7|2.88
