 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M1529|Blackwood Coal Mine|Blackwood 4||https://www.gem.wiki/Blackwood_Mine_(Cornwall_Colliery)||Operating||||Cornwall Coal Company|Cornwall Coal Company|Coronado Global|Australia|Production|0.6||Underground|||500|Exact||Bituminous||-|-|-|-|-|-|-|-|1980|||St Mary’s||Tasmania|Australia|36|Australia & NZ|-41.559798|148.130942|Exact||||13.8|13.2|0.3|1.44
M0012|Blair Athol Coal Mine|||https://www.gem.wiki/Blair_Athol_mine||Operating||||Orion Mining|Orion Mining|TerraCom|Australia|Production|1.3||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|29|-|-|32|-|-|43|22|1924|||Clermont||Queensland|Australia|36|Australia & NZ|-22.703221|147.54353|Exact||||0.8|1.6|0.0|2.32
M0013|Bloomfield Coal Mine|||https://www.gem.wiki/Bloomfield_Mine_and_Colliery||Operating||||Bloomfield Collieries|Bloomfield Collieries|Bloomfield Group|Australia|Production|1.3||Surface|Open Pit||60|Estimate||Bituminous|Thermal & Met|8|-|-|-|-|-|-|6|1937|10||Cessnock||New South Wales|Australia|36|Australia & NZ|-32.7928986|151.5841947|Exact||||3.5|6.8|0.1|3.12
M0014|Boggabri Coal Mine|Boggabri Coal Expansion Project||https://www.gem.wiki/Boggabri_coal_mine||Operating||||Boggabri Coal|Boggabri Coal (80%), Chugoku Electric Power (10%), NS Boggabri (10%)|Idemitsu Australia Resources - Idemitsu Kosan (80%), Energia Group (10%), Nippon Steel (10%)|Japan|Production|6.6||Surface|Open Pit|20.56|60|Estimate||Bituminous|Thermal & Met|-|-|-|145|-|-|-|-|2006|13|Gunnedah|Boggabri||New South Wales|Australia|36|Australia & NZ|-30.6116182|150.1550389|Exact|Terminal (Export)|Port of Newcastle|https://www.gem.wiki/Port_of_Newcastle|3.5|34.7|0.7|15.84
M0015|Boundary Hill Coal Mine|Boundary Hill South Extension||https://www.gem.wiki/Boundary_Hill_mine||Operating||||Anglo Coal Callide Management|Anglo Coal Callide Management|Anglo American|UK|Production|2.6||Surface|Open Pit||60|Estimate||Bituminous|Thermal|-|-|-|-|-|-|-|-||13||Biloela||Queensland|Australia|36|Australia & NZ|-24.199444|150.494057|Exact||||3.5|13.7|0.3|6.24
M0016|Broadmeadow Coal Mine|||https://www.gem.wiki/Broadmeadow_mine||Operating||||B.M Alliance Coal Operations|B.M Alliance Coal Operations|BHP (50%), Mitsubishi Corporation (50%)|Australia|Production|5.2||Underground|Longwall||500|Estimate||Bituminous|Met|165|59|106|572|-|-|1010|32|2005||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.8025693|147.98|Exact||||13.8|114.8|2.3|13.64
M2419|Broadmeadow East Coal Mine|||https://www.gem.wiki/Broadmeadow_East_Coal_Mine||Proposed|Construction|New||BUMA Australia|Bowen Coking Coal|Bowen Coking Coal|Australia|Capacity|1.2||Surface|Open Pit||60|Estimate|370|Bituminous|Met|-|-|-|7|4|22|33|-|2024|7|Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.823999|147.979227|Exact|Terminal (Export)|Dalrymple Bay Coal Terminal|https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal|3.5|6.3|0.1|3.15
M0017|Bulga Coal Mine|Bulga Optimization Project||https://www.gem.wiki/Bulga_coal_mine||Proposed|Pre-Permit|Expansion||Bulga Coal Management (BCM)|Saxonvale Coal Pty Ltd (87.5%) and Nippon Steel Australia Pty Ltd (12.5%)|Glencore|Switzerland|Capacity|0.9||Underground||55|90|Exact|50|Bituminous|Thermal & Met|63|-|-|-|-|-|-|70|TBD|3|Hunter|Bulga||New South Wales|Australia|36|Australia & NZ|-32.6795434|151.1000279|Exact|Terminal (Export)|Port of Newcastle|https://www.gem.wiki/Port_of_Newcastle|4.9|7.1|0.1|2.16
M0017|Bulga Coal Mine|||https://www.gem.wiki/Bulga_coal_mine||Operating||||Bulga Coal Management (BCM)|Saxonvale Coal Pty Ltd (87.5%) and Nippon Steel Australia Pty Ltd (12.5%)|Glencore|Switzerland|Production|9.02||Underground & Surface|Mixed|55|90|Estimate|750|Bituminous|Thermal & Met|204|120|84|-|-|-|-|23|1982||Hunter|Bulga||New South Wales|Australia|36|Australia & NZ|-32.6795434|151.1000279|Exact|Terminal (Export)|Port of Newcastle|https://www.gem.wiki/Port_of_Newcastle|4.9|70.7|1.4|21.64
M0018|Byerwen Coal Mine|Byerwen Coal Project||https://www.gem.wiki/Byerwen_Coal_Project||Operating||||Byerwen Coal|Byerwen Coal|QCoal (85%), JFE Steel (15%)|Australia, Japan|Production|10||Surface|Open Pit|69.97|60|Estimate|545|Bituminous|Met|-|-|-|-|-|-|690|-|2019|||Glenden||Queensland|Australia|36|Australia & NZ|-21.242828|147.835392|Exact|Terminal (Export)|Abbot Point Coal Terminal|https://www.gem.wiki/Abbot_Point_Coal_Terminal|3.5|52.5|1.0|26.23
M2487|Bylong Coal Project|||https://www.gem.wiki/Bylong_coal_project||Cancelled|Pre-Permit|New||KEPCO Bylong Australia|KEPCO Bylong Australia|KEPCO Korea|South Korea|Capacity|6.5||Underground & Surface|Mixed|70|50|Estimate||Subbituminous|Thermal|124|-|-|-|-|-|-|19||||Mudgee||New South Wales|Australia|36|Australia & NZ|-32.451139|150.143913|Exact||||0.8|8.3|0.2|11.60
M0019|Callide Coal Mine|||https://www.gem.wiki/Callide_mine||Operating||||Batchfire Resources|Batchfire Resources|Batchfire Resources|Australia|Production|10.8||Surface|Open Pit|176|50|Estimate|450|Subbituminous|Thermal|-|-|-|-|-|-|1700|-|1944||Callide Basin|Biloela||Queensland|Australia|36|Australia & NZ|-24.310921|150.622173|Exact|Coal Plant|Callide Power Station|https://www.gem.wiki/Callide_power_station|0.8|13.0|0.3|19.28
