dt,average
2013-02-01,1814.13
2013-03-01,1813.28
2013-04-01,1812.81
2013-05-01,1811.93
2013-06-01,1808.59
2013-07-01,1805.77
2013-08-01,1808.39
2013-09-01,1814.34
2013-10-01,1818.58
2013-11-01,1820.34
2013-12-01,1819.35
2014-01-01,1816.83
2014-02-01,1816.39
2014-03-01,1818.17
2014-04-01,1820.89
2014-05-01,1821.89
2014-06-01,1818.35
2014-07-01,1815.53
2014-08-01,1819.71
2014-09-01,1826.89
2014-10-01,1831.21
2014-11-01,1833.06
2014-12-01,1833.52
2015-01-01,1832.88
2015-02-01,1832.74
2015-03-01,1833.12
2015-04-01,1833.23
2015-05-01,1831.79
2015-06-01,1827.36
2015-07-01,1824.79
2015-08-01,1829.2
2015-09-01,1836.3
2015-10-01,1841.51
2015-11-01,1844.74
2015-12-01,1844.9
2016-01-01,1842.38
2016-02-01,1841.63
2016-03-01,1843.02
2016-04-01,1843.73
2016-05-01,1842.11
2016-06-01,1837.85
2016-07-01,1834.16
2016-08-01,1836.68
2016-09-01,1844.2
2016-10-01,1849.86
2016-11-01,1851.43
2016-12-01,1851.1
2017-01-01,1849.79
2017-02-01,1848.55
2017-03-01,1848.34
2017-04-01,1848.6
2017-05-01,1847.16
2017-06-01,1842.98
2017-07-01,1840.39
2017-08-01,1844.65
2017-09-01,1852.8
2017-10-01,1858.08
2017-11-01,1858.69
2017-12-01,1856.67
2018-01-01,1854.43
2018-02-01,1854.96
2018-03-01,1856.9
2018-04-01,1856.68
2018-05-01,1854.79
2018-06-01,1852.03
2018-07-01,1849.09
2018-08-01,1851.91
2018-09-01,1860.5
2018-10-01,1865.74
2018-11-01,1866.25
2018-12-01,1866.04
2019-01-01,1864.96
2019-02-01,1865.01
2019-03-01,1866.35
2019-04-01,1865.3
2019-05-01,1861.95
2019-06-01,1858.81
2019-07-01,1858.23
2019-08-01,1862.89
2019-09-01,1870.8
2019-10-01,1875.38
2019-11-01,1875.55
2019-12-01,1874.7
2020-01-01,1873.12
2020-02-01,1872.73
2020-03-01,1874.75
2020-04-01,1875.86
2020-05-01,1874.29
2020-06-01,1871.88
2020-07-01,1871.5
2020-08-01,1876.52
2020-09-01,1884.69
2020-10-01,1890.09
2020-11-01,1891.91
2020-12-01,1891.8
2021-01-01,1889.47
2021-02-01,1887.52
2021-03-01,1888.73
2021-04-01,1891.23
2021-05-01,1891.59
2021-06-01,1888.47
2021-07-01,1886.37
2021-08-01,1892.6
2021-09-01,1902.66
2021-10-01,1908.0
2021-11-01,1909.5
2021-12-01,1908.8
2022-01-01,1907.44
2022-02-01,1907.68
2022-03-01,1909.04
2022-04-01,1909.56
2022-05-01,1907.78
2022-06-01,1905.21
2022-07-01,1904.44
2022-08-01,1908.82
2022-09-01,1915.55
2022-10-01,1919.84
2022-11-01,1923.44
2022-12-01,1924.61
2023-01-01,1922.19
2023-02-01,1920.25
2023-03-01,1919.77
2023-04-01,1920.65
2023-05-01,1919.93
2023-06-01,1915.89
2023-07-01,1914.1
2023-08-01,1918.07
2023-09-01,1925.64
2023-10-01,1931.03
2023-11-01,1932.05
2023-12-01,1932.23
